rural route	rural_route
American Samoa	American_Samoa
District of Columbia	District_of_Columbia
District_of Columbia	District_of_Columbia
District of_Columbia	District_of_Columbia
Marshall Islands	Marshall_Islands
New Hampshire	New_Hampshire
New Jersey	New_Jersey
New Mexico	New_Mexico
New York	New_York
North Carolina	North_Carolina
North Dakota	North_Dakota
Puerto Rico	Puerto_Rico
Rhode Island	Rhode_Island
South Carolina	South_Carolina
South Dakota	South_Dakota
Virgin Islands	Virgin_Islands
West Virginia	West_Virginia
Attorney General	Attorney_General
Brigadier General	Brigadier_General
District Attorney	District_Attorney
Flight Lieutenant	Flight_Lieutenant
Lieutenant Colonel	Lieutenant_Colonel
Lieutenant Governor	Lieutenant_Governor
Major General	Major_General
Police Lieutenant	Police_Lieutenant
Police Sergeant	Police_Sergeant
Private First Class	Private_First_Class
Private_First Class	Private_First_Class
Private First_Class	Private_First_Class
Right Reverend	Right_Reverend
State Senator	State_Senator
Vice President	Vice_President
kilowatt hour	kilowatt_hour
kilowatt hours	kilowatt_hours
megawatt hour	megawatt_hour
megawatt hours	megawatt_hours
parts per million	parts_per_million
parts_per million	parts_per_million
parts per_million	parts_per_million
parts per billion	parts_per_billion
parts_per billion	parts_per_billion
parts per_billion	parts_per_billion
parts per trillion	parts_per_trillion
parts_per trillion	parts_per_trillion
parts per_trillion	parts_per_trillion
parts per gallon	parts_per_gallon
parts_per gallon	parts_per_gallon
parts per_gallon	parts_per_gallon
rotations per minute	rotations_per_minute
rotations_per minute	rotations_per_minute
rotations per_minute	rotations_per_minute
miles per hour	miles_per_hour
miles_per hour	miles_per_hour
miles per_hour	miles_per_hour
mile per hour	mile_per_hour
mile_per hour	mile_per_hour
mile per_hour	mile_per_hour
cycles per second	cycles_per_second
cycles_per second	cycles_per_second
cycles per_second	cycles_per_second
beats per minute	beats_per_minute
beats_per minute	beats_per_minute
beats per_minute	beats_per_minute
sectors per track	sectors_per_track
sectors_per track	sectors_per_track
sectors per_track	sectors_per_track
millimeters of mercury	millimeters_of_mercury
millimeters_of mercury	millimeters_of_mercury
millimeters of_mercury	millimeters_of_mercury
millimeters mercury	millimeters_mercury
divided by	divided_by
divide by	divide_by
multiplied by	multiplied_by
US dollar	US_dollar
US dollars	US_dollars
American dollar	American_dollar
American dollars	American_dollars
Canadian dollar	Canadian_dollar
Canadian dollars	Canadian_dollars
Japanese yen	Japanese_yen
pound sterling	pound_sterling
pounds sterling	pounds_sterling
English pound	English_pound
English pounds	English_pounds
English pound sterling	English_pound_sterling
English_pound sterling	English_pound_sterling
English pound_sterling	English_pound_sterling
English pounds sterling	English_pounds_sterling
English_pounds sterling	English_pounds_sterling
English pounds_sterling	English_pounds_sterling
British pound	British_pound
British pounds	British_pounds
British pound sterling	British_pound_sterling
British_pound sterling	British_pound_sterling
British pound_sterling	British_pound_sterling
British pounds sterling	British_pounds_sterling
British_pounds sterling	British_pounds_sterling
British pounds_sterling	British_pounds_sterling
great British pound	great_British_pound
great_British pound	great_British_pound
great British_pound	great_British_pound
great British pounds	great_British_pounds
great_British pounds	great_British_pounds
great British_pounds	great_British_pounds
great British pound sterling	great_British_pound_sterling
great_British pound sterling	great_British_pound_sterling
great British_pound sterling	great_British_pound_sterling
great_British_pound sterling	great_British_pound_sterling
great British pound_sterling	great_British_pound_sterling
great_British pound_sterling	great_British_pound_sterling
great British_pound_sterling	great_British_pound_sterling
great British pounds sterling	great_British_pounds_sterling
great_British pounds sterling	great_British_pounds_sterling
great British_pounds sterling	great_British_pounds_sterling
great_British_pounds sterling	great_British_pounds_sterling
great British pounds_sterling	great_British_pounds_sterling
great_British pounds_sterling	great_British_pounds_sterling
great British_pounds_sterling	great_British_pounds_sterling
Swiss franc	Swiss_franc
Swiss francs	Swiss_francs
New Zealand dollar	New_Zealand_dollar
New_Zealand dollar	New_Zealand_dollar
New Zealand_dollar	New_Zealand_dollar
New Zealand dollars	New_Zealand_dollars
New_Zealand dollars	New_Zealand_dollars
New Zealand_dollars	New_Zealand_dollars
Australian dollar	Australian_dollar
Australian dollars	Australian_dollars
Hong Kong dollar	Hong_Kong_dollar
Hong_Kong dollar	Hong_Kong_dollar
Hong Kong_dollar	Hong_Kong_dollar
Hong Kong dollars	Hong_Kong_dollars
Hong_Kong dollars	Hong_Kong_dollars
Hong Kong_dollars	Hong_Kong_dollars
Indian rupee	Indian_rupee
Indian rupees	Indian_rupees
Thailand baht	Thailand_baht
Thai baht	Thai_baht
et cetera	et_cetera
at sign	at_sign
post office	post_office
